MES,RUTA_CONFIGURACION,VALOR_MERCADO,UTILIZACION_MERCADO,NUM_VIAJES_MERCADO,VALOR_REMESAS,UTILIZACION_REMESAS,NUM_VIAJES_REMESAS, VALOR_PROMEDIO_MERCADO ,RUTA_ANALISIS,CONFIGURACION_ANALISIS,CODIGO_ORIGEN,CODIGO_DESTINO
202501,11001000-25290000-3S3,985026.0667,0.81804956,4,1213573.391,0.723043478,23,1189483.729,11001000-25290000,3S3,11001000,25290000
202501,11001000-25295000-2S2,759015.1515,0.622120492,11,884542.2857,0.521142857,35,884391.318,11001000-25295000,2S2,11001000,25295000
202501,11001000-25295000-2S3,904700,0.533333333,5,829142.8571,0.482857143,7,910927.6571,11001000-25295000,2S3,11001000,25295000
202501,11001000-25295000-3,1597926,0.988333333,1,1118960,0.578571429,14,1389179.184,11001000-25295000,3,11001000,25295000
202501,11001000-25295000-3S2,899178.56,0.512258065,5,824685.875,0.69625,8,905751.9259,11001000-25295000,3S2,11001000,25295000
202501,11001000-25295000-3S3,1282272.222,0.663398693,6,1077250,0.7125,4,1228814.422,11001000-25295000,3S3,11001000,25295000
202501,11001000-25307000-2S2,1940000,0.681818182,1,1940000,0.68,1,2056400,11001000-25307000,2S2,11001000,25307000
202501,11001000-25307000-3S3,2016666.667,0.755531046,2,2028927.273,0.447272727,22,2145464.412,11001000-25307000,3S3,11001000,25307000
202501,11001000-25326000-2S3,1950000,0.666666667,1,1950000,0.67,1,2067000,11001000-25326000,2S3,11001000,25326000
202501,11001000-25326000-3S2,2400000,0.467741935,1,2400000,0.465,2,2544000,11001000-25326000,3S2,11001000,25326000
202501,11001000-25386000-3S3,750000,0.78071825,2,1454157.25,0.69,12,1242844.011,11001000-25386000,3S3,11001000,25386000
202501,11001000-25430000-2S2,781388,0.550617424,4,795110.4,0.518,5,836998.7264,11001000-25430000,2S2,11001000,25430000
202501,11001000-25430000-2S3,886373.5,0.606432099,3,1437640.5,0.74,2,1290161.722,11001000-25430000,2S3,11001000,25430000
202501,11001000-25430000-3,550000,0.79375,1,550000,0.79,1,583000,11001000-25430000,3,11001000,25430000
202501,11001000-25430000-3S2,791856,0.800370968,2,1583712,0.71,1,1342987.776,11001000-25430000,3S2,11001000,25430000
202501,11001000-25430000-3S3,710489.1917,0.859054003,8,864029.2917,0.807083333,24,850770.0468,11001000-25430000,3S3,11001000,25430000
202501,11001000-25473000-2S2,770642.7917,0.546373106,8,800675.1818,0.536363636,11,835981.9593,11001000-25473000,2S2,11001000,25473000
202501,11001000-25473000-2S3,1307583,0.603222222,2,1205888.667,0.556666667,3,1321360.384,11001000-25473000,2S3,11001000,25473000
202501,11001000-25473000-3,342000,0.851192434,4,617058.8235,0.941176471,17,537457.4118,11001000-25473000,3,11001000,25473000
202501,11001000-25473000-3S2,858041.6667,0.627981183,12,1114900,0.599,10,1072886.067,11001000-25473000,3S2,11001000,25473000
202501,11001000-25473000-3S3,1078670.485,0.807814836,27,1221320.357,0.748035714,56,1234116.033,11001000-25473000,3S3,11001000,25473000
202501,11001000-25483000-3S3,3500000,0.617647059,1,3500000,0.62,1,3710000,11001000-25483000,3S3,11001000,25483000
202501,11001000-25486000-3S2,1800000,0.706451613,1,1800000,0.71,1,1908000,11001000-25486000,3S2,11001000,25486000
202501,11001000-25488000-3S2,2800000,0.677419355,1,2800000,0.68,1,2968000,11001000-25488000,3S2,11001000,25488000
202501,11001000-25530001-3,10000000,0.5625,1,10000000,0.56,1,10600000,11001000-25530001,3,11001000,25530001
202501,11001000-25572000-2S2,2500000,0.454545455,1,2500000,0.45,1,2650000,11001000-25572000,2S2,11001000,25572000
202501,11001000-25572000-3,2500000,0.90625,1,2500000,0.91,1,2650000,11001000-25572000,3,11001000,25572000
202501,11001000-25612000-3S3,1638692.75,0.923980486,2,1684923.667,0.896666667,3,1766417.178,11001000-25612000,3S3,11001000,25612000
202501,11001000-25736000-2S2,0,0.681818182,1,1275000,0.41,6,1351500,11001000-25736000,2S2,11001000,25736000
202501,11001000-25736000-3S3,550000,0.683823529,2,1100000,0.88,3,932800,11001000-25736000,3S3,11001000,25736000
202501,11001000-25740000-2S2,628704.1667,0.595910038,8,848066.6667,0.571111111,9,805940.9667,11001000-25740000,2S2,11001000,25740000
202501,11001000-25740000-2S3,1267948,0.625185185,1,NA,NA,NA,1344024.88,11001000-25740000,2S3,11001000,25740000
202501,11001000-25740000-3,1368224.6,0.8603125,5,1484249.111,0.945555556,9,1524109.665,11001000-25740000,3,11001000,25740000
202501,11001000-25740000-3S2,471689.4667,0.470537634,5,744600,0.413333333,6,673561.9339,11001000-25740000,3S2,11001000,25740000
202501,11001000-25740000-3S3,1744000,0.761691176,4,2092600,0.744,10,2070349.6,11001000-25740000,3S3,11001000,25740000
202501,11001000-25745000-3S2,1069000,0.64516129,1,1069000,0.65,1,1133140,11001000-25745000,3S2,11001000,25745000
202501,11001000-25754000-2S2,700000,0.693939394,6,828571.4286,0.704285714,7,823771.4286,11001000-25754000,2S2,11001000,25754000
202501,11001000-25754000-2S3,450000,0.685185185,2,850000,0.665,2,731400,11001000-25754000,2S3,11001000,25754000
202501,11001000-25754000-3,202500,0.841145833,4,432500,0.8025,4,360930,11001000-25754000,3,11001000,25754000
202501,11001000-25754000-3S2,766666.6667,0.639784946,3,940000,0.492,5,922906.6667,11001000-25754000,3S2,11001000,25754000
202501,11001000-25754000-3S3,609509.8039,0.757352941,2,477941.1765,0.808529412,34,562402.7451,11001000-25754000,3S3,11001000,25754000
202501,11001000-25758000-2S2,331333.3333,0.5,2,658000,0.64,4,558973.3333,11001000-25758000,2S2,11001000,25758000
202501,11001000-25758000-3,900000,0.652,1,900000,0.65,1,954000,11001000-25758000,3,11001000,25758000
202501,11001000-25758000-3S2,772000,0.516129032,2,772000,0.515,2,818320,11001000-25758000,3S2,11001000,25758000
202501,11001000-25799000-2S2,1141909.091,0.671363636,11,1054081.633,0.808367347,49,1154565.373,11001000-25799000,2S2,11001000,25799000
202501,11001000-25799000-2S3,560325,0.583333333,2,1120650,0.74,2,950311.2,11001000-25799000,2S3,11001000,25799000
202501,11001000-25799000-3,762000,0.7265625,1,762000,0.94,1,807720,11001000-25799000,3,11001000,25799000
202501,11001000-25799000-3S2,846333.3333,0.690561529,3,1131200,0.45,5,1078288.533,11001000-25799000,3S2,11001000,25799000
202501,11001000-25799000-3S3,513245.125,0.744301471,8,1001522.2,0.724,5,854584.0522,11001000-25799000,3S3,11001000,25799000
202501,11001000-25799001-2S2,1500000,0.827272727,1,1500000,0.83,1,1590000,11001000-25799001,2S2,11001000,25799001
202501,11001000-25817000-2S2,1015146.514,0.608703456,9,894966.4179,0.589701493,67,999620.7638,11001000-25817000,2S2,11001000,25817000
202501,11001000-25817000-2S3,773012.4444,0.440431276,5,865992.1951,0.461707317,41,878528.3125,11001000-25817000,2S3,11001000,25817000
202501,11001000-25817000-3,2063106.3,0.825625,5,3196843.833,0.896666667,6,2907949.749,11001000-25817000,3,11001000,25817000
202501,11001000-25817000-3S2,797714.2857,0.617166667,6,629179.4872,0.783846154,78,738389.011,11001000-25817000,3S2,11001000,25817000
202501,11001000-25817000-3S3,1193878.503,0.782405715,17,740324.8496,0.964135338,266,977051.0894,11001000-25817000,3S3,11001000,25817000
202501,11001000-25839003-3,1200000,0.41875,1,1200000,0.42,2,1272000,11001000-25839003,3,11001000,25839003
202501,11001000-25843000-3,1700000,1.175,1,1700000,1.18,1,1802000,11001000-25843000,3,11001000,25843000
202501,11001000-25843000-3S2,1200000,0.419354839,1,1200000,0.39,1,1272000,11001000-25843000,3S2,11001000,25843000
202501,11001000-25875000-3S2,1000000,0.760887097,2,2000000,0.65,2,1696000,11001000-25875000,3S2,11001000,25875000
202501,11001000-25875000-3S3,2204875,0.668066993,2,2204875,0.7,2,2337167.5,11001000-25875000,3S3,11001000,25875000
202501,11001000-25899000-2S2,668888.8889,0.54040404,3,628333.3333,0.575,6,683228.8889,11001000-25899000,2S2,11001000,25899000
202501,11001000-25899000-3,855555.5556,0.958333333,3,833333.3333,0.95,6,892755.5556,11001000-25899000,3,11001000,25899000
202501,11001000-25899000-3S3,1144418.563,0.850281413,2,830670.2353,0.848235294,17,1013539.74,11001000-25899000,3S3,11001000,25899000
202501,11001000-27001000-2S2,5600000,0.363636364,1,5800000,0.475,4,6063200,11001000-27001000,2S2,11001000,27001000
202501,11001000-27245000-3S3,7000000,1.029411765,1,6666000,1.03,1,7207576,11001000-27245000,3S3,11001000,27245000
202501,11001000-27361000-3,3925000,1.09375,2,3925000,1.09,2,4160500,11001000-27361000,3,11001000,27361000
202501,11001000-27361000-3S2,9000000,0.741935484,1,9000000,0.74,1,9540000,11001000-27361000,3S2,11001000,27361000
202501,11001000-27413000-2S2,5000000,0.681818182,1,5000000,0.68,1,5300000,11001000-27413000,2S2,11001000,27413000
202501,11001000-41001000-2S2,1717333.333,0.500909091,3,2634666.667,0.576666667,3,2403797.333,11001000-41001000,2S2,11001000,41001000
